GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new ActionListener() {...},58,0,2,0,9,0,3,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame,321,0,0,0,56,0,4,0,4,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,FromMeters,0,45,0,0,0,15,0,8,0,8
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new ActionListener() {...},58,0,2,0,9,0,3,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,Main,8,0,0,0,3,0,2,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new ActionListener() {...},58,0,2,0,9,0,3,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new ActionListener() {...},58,0,2,0,9,0,3,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new ActionListener() {...},58,0,2,0,9,0,3,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new ActionListener() {...},58,0,2,0,9,0,3,0,2,0
calculator-sandra-b,com.example.maven.calculator_sandra_b,MainFrame.new ActionListener() {...},58,0,2,0,9,0,3,0,2,0
